Station,platform,98901,98903,98905,98907,98909,98911,98913,98915,98917,98902,98904,98906,98908,98910,98912,98914,98916,98918
GTBN,1 RIGHT,,,,,,,,,,08:15,09:25,10:19,13:06,19:16,19:49,20:32,21:08,22:25
CHMB,1 LEFT,,,,,,,,,,08:18,09:28,10:22,13:09,19:19,19:52,20:35,21:11,22:28
CLA,7 RIGHT,,,,,,,,,,08:21,09:31,10:25,13:12,19:22,19:55,20:38,21:14,22:31
TKNG,1 LEFT,,,,,,,,,,08:24,09:34,10:28,13:15,19:25,19:58,20:41,21:17,22:34
CMBR,1 RIGHT,,,,,,,,,,08:26,09:36,10:30,13:17,19:27,20:00,20:43,21:19,22:36
GV,1 BOTH,,,,,,,,,,08:29,09:39,10:33,13:20,19:30,20:03,20:46,21:22,22:39
MNKD,1 LEFT,,,,,,,,,,08:32,09:42,10:36,13:23,19:33,20:06,20:49,21:25,22:42
VSH,3 BOTH,,,,,,,,,,08:41,09:51,10:45,13:32,19:42,20:15,20:58,21:34,22:51
SNPD,3 BOTH,,,,,,,,,,08:43,09:53,10:47,13:34,19:44,20:17,21:00,21:36,22:53
JNJ,3 BOTH,,,,,,,,,,08:46,09:56,10:50,13:37,19:47,20:20,21:03,21:39,22:56
NEU,3 BOTH,,,,,,,,,,08:50,10:00,10:54,13:42,19:51,20:24,21:07,21:43,23:00
SWDV,1 BOTH,,,,,,,,,,08:53,10:03,10:57,13:45,19:54,20:27,21:10,21:46,23:03
BEPR,1 BOTH,,,,,,,,,,08:57,10:07,11:01,13:49,19:58,20:31,21:14,21:50,23:07
KHAG,1 BOTH,,,,,,,,,,09:01,10:11,11:05,13:53,20:02,20:35,21:18,21:54,23:11
MANR,3 BOTH,,,,,,,,,,09:04,10:14,11:08,13:56,20:05,20:38,21:21,21:57,23:14
KNDS,1 BOTH,,,,,,,,,,09:07,10:17,11:11,13:59,20:08,20:41,21:24,22:00,23:17
PNVL,,,,,,,,,,,09:12,10:22,11:16,14:04,20:13,20:46,21:29,22:05,23:22
